tick,x,y,robot_id,team
16,-1.49997,-1.12000,2,0
16,1.49997,-0.00000,1,1
16,1.49997,-1.12000,2,1
16,1.42851,1.08504,0,1
17,0.00000,0.00000,-1,-1
17,-1.43833,1.11563,0,0
17,-1.43363,-0.00712,1,0
17,-1.49997,-1.12000,2,0
17,1.49997,-0.00000,1,1
17,1.49997,-1.12000,2,1
17,1.41690,1.07943,0,1
18,0.00000,0.00000,-1,-1
18,-1.42701,1.11518,0,0
18,-1.42159,-0.00834,1,0
18,-1.49997,-1.12000,2,0
18,1.49997,-0.00000,1,1
18,1.49997,-1.12000,2,1
18,1.40434,1.07340,0,1
19,0.00000,0.00000,-1,-1
19,-1.41472,1.11473,0,0
19,-1.40846,-0.00968,1,0
19,-1.49997,-1.12000,2,0
19,1.49997,-0.00000,1,1
19,1.49997,-1.12000,2,1
19,1.39082,1.06697,0,1
20,0.00000,0.00000,-1,-1
20,-1.40149,1.11428,0,0
20,-1.39430,-0.01112,1,0
20,-1.49997,-1.12000,2,0
20,1.49997,0.00000,1,1
20,1.49997,-1.12000,2,1
20,1.37635,1.06011,0,1
21,0.00000,0.00000,-1,-1
21,-1.38731,1.11383,0,0
21,-1.37907,-0.01268,1,0
21,-1.49997,-1.12000,2,0
21,1.49997,0.00000,1,1
21,1.49997,-1.12000,2,1
21,1.36092,1.05285,0,1
22,0.00000,0.00000,-1,-1
22,-1.37219,1.11339,0,0
22,-1.36279,-0.01434,1,0
22,-1.49997,-1.12000,2,0
22,1.49997,0.00000,1,1
22,1.49997,-1.12000,2,1
22,1.34454,1.04516,0,1
23,0.00000,0.00000,-1,-1
23,-1.35613,1.11295,0,0
23,-1.34545,-0.01612,1,0
23,-1.49997,-1.12000,2,0
23,1.49997,0.00000,1,1
23,1.49997,-1.12000,2,1
23,1.32720,1.03704,0,1
24,0.00000,0.00000,-1,-1
24,-1.33914,1.11252,0,0
24,-1.32706,-0.01800,1,0
24,-1.49997,-1.12000,2,0
24,1.49997,0.00000,1,1
24,1.49997,-1.12000,2,1
24,1.30891,1.02848,0,1
25,0.00000,0.00000,-1,-1
25,-1.32121,1.11209,0,0
25,-1.30760,-0.02000,1,0
25,-1.49997,-1.12000,2,0
25,1.49997,0.00000,1,1
25,1.49997,-1.12000,2,1
25,1.28967,1.01948,0,1
26,0.00000,0.00000,-1,-1
26,-1.30235,1.11168,0,0
26,-1.28709,-0.02210,1,0
26,-1.49997,-1.12000,2,0
26,1.49997,0.00000,1,1
26,1.49997,-1.12000,2,1
26,1.26948,1.01004,0,1
27,0.00000,0.00000,-1,-1
27,-1.28255,1.11126,0,0
27,-1.26552,-0.02431,1,0
27,-1.49997,-1.12000,2,0
27,1.49997,-0.00000,1,1
27,1.49997,-1.12000,2,1
27,1.24835,1.00013,0,1
28,0.00000,0.00000,-1,-1
28,-1.26310,1.11134,0,0
28,-1.24450,-0.02659,1,0
28,-1.49997,-1.12000,2,0
28,1.49997,-0.00000,1,1
28,1.49997,-1.12000,2,1
28,1.22759,0.99062,0,1
29,0.00000,0.00000,-1,-1
29,-1.22330,1.11073,0,0
29,-1.20111,-0.03113,1,0
29,-1.49997,-1.12000,2,0
29,1.49997,-0.00000,1,1
29,1.49997,-1.12000,2,1
29,1.18607,0.97053,0,1
30,0.00000,0.00000,-1,-1
30,-1.20196,1.11026,0,0
30,-1.17775,-0.03353,1,0
30,-1.49997,-1.12000,2,0
30,1.49997,-0.00000,1,1
30,1.49997,-1.12000,2,1
30,1.16531,0.95906,0,1
31,0.00000,0.00000,-1,-1
31,-1.17966,1.10969,0,0
31,-1.15370,-0.03646,1,0
31,-1.49997,-1.12000,2,0
31,1.49997,-0.00000,1,1
31,1.49997,-1.12000,2,1
31,1.14446,0.94666,0,1
32,0.00000,0.00000,-1,-1
